,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,avggift
54,,F,1055.0,366.0,462.0,379.0,400.0,20.8
55,,F,1509.0,545.0,617.0,,680.0,9.0
56,,M,927.0,299.0,322.0,372.0,410.0,5.0
57,CA,F,2098.0,,311.0,352.0,368.0,
58,AZ,M,2158.0,411.0,516.0,535.0,640.0,7.933333333
59,MO,,1110.0,460.0,,538.0,624.0,
60,,F,581.0,349.0,361.0,359.0,373.0,9.857142857
61,LA,M,563.0,259.0,301.0,,342.0,10.18181818
62,,F,740.0,240.0,288.0,,324.0,5.0
63,IA,F,516.0,332.0,378.0,347.0,379.0,12.33333333
64,MN,M,575.0,,282.0,290.0,316.0,10.0
65,,M,2357.0,511.0,540.0,,609.0,13.66666667
66,SC,M,645.0,304.0,360.0,306.0,376.0,10.875
67,,M,825.0,,,290.0,301.0,20.0
68,IN,M,531.0,246.0,278.0,272.0,290.0,
69,KY,,195.0,,148.0,159.0,179.0,4.302325581
70,KY,F,423.0,,297.0,274.0,279.0,6.055555556
71,CA,F,2725.0,629.0,684.0,662.0,734.0,15.0
72,OK,F,359.0,220.0,247.0,270.0,299.0,20.0
73,CA,F,889.0,398.0,488.0,450.0,495.0,5.846153846
74,FL,M,824.0,248.0,274.0,288.0,326.0,
75,CA,M,1993.0,442.0,,484.0,520.0,10.83333333
76,TX,F,618.0,,310.0,302.0,394.0,10.25
77,NE,F,151.0,180.0,208.0,230.0,,2.361111111
78,MI,M,492.0,,370.0,317.0,402.0,14.57142857
79,,F,892.0,380.0,406.0,426.0,468.0,17.0
80,GA,F,948.0,531.0,530.0,585.0,584.0,5.484848485
81,LA,F,717.0,190.0,313.0,235.0,302.0,24.16666667
82,MI,M,612.0,330.0,326.0,392.0,400.0,
83,,F,919.0,338.0,337.0,349.0,346.0,8.214285714
84,WA,M,697.0,317.0,364.0,337.0,,10.0
85,CA,F,2750.0,668.0,701.0,717.0,781.0,11.44444444
86,KS,F,513.0,,434.0,436.0,482.0,6.07675
87,CA,F,1848.0,505.0,515.0,,581.0,5.684210526
88,CA,M,1417.0,406.0,341.0,519.0,508.0,14.11111111
89,IL,F,347.0,210.0,,229.0,286.0,8.076923077
90,NC,M,994.0,404.0,475.0,485.0,530.0,13.77777778
91,NC,M,797.0,377.0,418.0,423.0,451.0,
92,IN,M,791.0,,407.0,390.0,428.0,
93,FL,F,957.0,408.0,399.0,450.0,,15.0
94,MN,F,357.0,,214.0,215.0,254.0,25.0
95,CA,F,896.0,336.0,362.0,389.0,,20.0
96,AL,F,402.0,232.0,249.0,276.0,300.0,
97,MI,M,294.0,,355.0,391.0,404.0,17.5
98,IN,,1199.0,547.0,556.0,597.0,605.0,10.0
99,CA,F,1125.0,280.0,,305.0,,
100,GA,M,316.0,213.0,,254.0,280.0,12.5
101,MO,F,825.0,401.0,463.0,464.0,555.0,
102,TX,F,642.0,271.0,,306.0,,6.142857143
103,IN,M,1263.0,468.0,517.0,548.0,601.0,
104,CA,F,1809.0,,466.0,503.0,543.0,8.0
105,NV,F,1161.0,448.0,,536.0,570.0,5.75
106,OK,F,295.0,150.0,203.0,195.0,248.0,6.333333333
107,CO,F,431.0,258.0,342.0,386.0,541.0,8.571428571
108,MO,F,544.0,264.0,,326.0,340.0,
109,,M,618.0,,278.0,278.0,335.0,7.846153846
110,GA,M,323.0,183.0,207.0,201.0,210.0,5.444444444
111,CA,,2135.0,417.0,417.0,433.0,456.0,8.2
112,GA,,671.0,287.0,365.0,372.0,441.0,4.888888889
113,,F,510.0,228.0,370.0,324.0,394.0,10.8
114,CA,F,650.0,302.0,302.0,315.0,318.0,8.666666667
115,MN,F,487.0,248.0,287.0,286.0,327.0,12.72727273
116,CA,F,2925.0,288.0,305.0,,376.0,7.523809524
117,FL,,884.0,,268.0,,313.0,4.428571429
118,MN,F,753.0,341.0,393.0,373.0,442.0,8.4
119,WI,M,627.0,367.0,427.0,394.0,,7.5
120,WI,M,806.0,331.0,420.0,382.0,447.0,13.2
121,CA,M,1401.0,,445.0,462.0,466.0,
122,,M,593.0,163.0,180.0,,230.0,12.5
123,FL,F,915.0,308.0,357.0,367.0,438.0,13.0
124,NE,F,456.0,,311.0,314.0,381.0,7.285714286
125,IN,,610.0,319.0,336.0,384.0,,4.625
126,FL,M,1229.0,469.0,502.0,507.0,544.0,8.4
127,FL,M,428.0,140.0,196.0,171.0,208.0,9.769230769
128,IL,F,2333.0,316.0,643.0,420.0,744.0,7.307692308
129,NC,M,707.0,383.0,400.0,398.0,433.0,9.333333333
130,OR,F,377.0,171.0,199.0,219.0,187.0,16.66666667
131,CA,,1624.0,380.0,382.0,407.0,,5.0
132,MI,F,348.0,184.0,269.0,,316.0,27.5
133,CA,F,1878.0,523.0,526.0,564.0,566.0,
134,IL,F,777.0,378.0,386.0,,423.0,17.8
135,IL,F,1463.0,117.0,439.0,266.0,523.0,12.16666667
136,TX,M,375.0,153.0,214.0,206.0,248.0,5.347826087
137,IN,F,561.0,302.0,301.0,323.0,331.0,
138,NC,,502.0,199.0,250.0,229.0,261.0,7.875
139,IN,M,800.0,283.0,398.0,,425.0,16.6
140,CO,M,1472.0,625.0,653.0,687.0,732.0,
141,,F,492.0,332.0,,425.0,,8.4375
142,IL,F,609.0,314.0,347.0,349.0,,6.666666667
143,,F,2430.0,604.0,610.0,659.0,,9.5
144,CA,M,2559.0,,591.0,614.0,651.0,10.25
145,FL,F,696.0,,357.0,358.0,427.0,3.3
146,FL,M,762.0,,355.0,327.0,411.0,
147,NE,F,441.0,,,300.0,353.0,5.279069767
148,IN,F,502.0,319.0,363.0,341.0,388.0,
149,IN,M,673.0,284.0,330.0,335.0,373.0,13.45454546
150,FL,F,1173.0,322.0,424.0,407.0,494.0,4.125
151,FL,F,934.0,323.0,373.0,376.0,400.0,25.0
152,FL,M,1332.0,,411.0,422.0,497.0,9.576923077
153,CO,F,649.0,238.0,273.0,272.0,302.0,5.411764706
154,OK,F,590.0,410.0,439.0,433.0,456.0,13.0
155,TX,F,500.0,291.0,316.0,314.0,379.0,11.5
156,FL,M,368.0,,271.0,261.0,295.0,10.7
157,,,427.0,315.0,365.0,340.0,377.0,9.0
158,CA,F,1458.0,173.0,191.0,220.0,249.0,
159,TX,M,274.0,154.0,214.0,199.0,256.0,40.875
160,KY,F,584.0,274.0,287.0,336.0,341.0,
161,IL,F,553.0,306.0,309.0,333.0,,8.916666667
162,CA,M,2545.0,361.0,304.0,386.0,358.0,12.5
163,,F,1778.0,411.0,480.0,439.0,503.0,
164,CA,F,1187.0,,366.0,393.0,428.0,10.81481482
165,TX,F,1448.0,651.0,667.0,698.0,724.0,
166,AL,M,712.0,377.0,,,472.0,
167,FL,M,1432.0,,693.0,680.0,772.0,
168,CA,,2598.0,,557.0,562.0,661.0,8.222222222
169,CA,F,2855.0,,385.0,484.0,537.0,6.538461539
170,TX,F,535.0,244.0,437.0,317.0,402.0,9.8125
171,,M,662.0,,406.0,394.0,456.0,12.5
172,CA,,2973.0,576.0,591.0,624.0,654.0,7.25
173,,F,2289.0,631.0,647.0,657.0,679.0,9.769230769
174,TX,,1274.0,789.0,798.0,804.0,825.0,6.409090909
175,,M,840.0,458.0,471.0,513.0,,15.0
176,WA,F,1024.0,,451.0,,472.0,10.5
177,IL,,1667.0,541.0,603.0,592.0,624.0,13.33333333
178,WA,F,843.0,423.0,,475.0,486.0,10.72727273
179,GA,F,583.0,360.0,374.0,405.0,434.0,9.666666667
180,CA,M,1801.0,495.0,534.0,475.0,525.0,19.47058824
181,AL,F,863.0,406.0,527.0,459.0,562.0,9.153846154
182,OR,M,335.0,140.0,157.0,154.0,170.0,
183,TX,F,1362.0,575.0,645.0,627.0,718.0,8.533333333
184,IL,,562.0,360.0,480.0,388.0,,20.0
185,FL,M,1287.0,479.0,508.0,567.0,616.0,4.105769231
186,TN,F,476.0,210.0,254.0,272.0,310.0,13.0
187,AL,F,648.0,353.0,418.0,357.0,,7.0
188,CA,M,1862.0,365.0,372.0,401.0,425.0,17.85714286
189,CA,F,1843.0,515.0,511.0,,582.0,19.0
190,OK,F,1537.0,791.0,783.0,916.0,949.0,11.0625
191,,F,719.0,330.0,340.0,389.0,416.0,
192,TX,M,1951.0,807.0,838.0,,896.0,9.333333333
193,FL,M,1434.0,388.0,479.0,513.0,,18.0
194,IA,,206.0,229.0,251.0,267.0,288.0,11.66666667
195,,M,613.0,146.0,267.0,209.0,349.0,17.5
196,GA,F,991.0,493.0,,532.0,548.0,7.769230769
197,MI,F,900.0,343.0,420.0,386.0,465.0,13.31818182
198,NV,F,1163.0,468.0,493.0,511.0,548.0,53.0
199,TX,M,430.0,237.0,283.0,281.0,,12.0
200,FL,F,1380.0,,325.0,,371.0,7.875
201,CA,F,1518.0,,171.0,208.0,218.0,5.055555556
202,WA,M,1390.0,426.0,,463.0,470.0,18.0
203,MO,M,1224.0,575.0,577.0,608.0,,2.8125
204,IL,,182.0,171.0,217.0,242.0,278.0,
205,OR,F,786.0,419.0,452.0,444.0,466.0,4.555555556
206,TX,M,308.0,161.0,186.0,204.0,219.0,4.5
207,OR,F,1074.0,232.0,252.0,294.0,,10.04347826
208,AZ,M,885.0,,408.0,417.0,454.0,
209,CA,F,2375.0,371.0,363.0,411.0,,4.142857143
210,,M,657.0,265.0,293.0,303.0,325.0,9.472222222
211,IN,F,581.0,369.0,372.0,369.0,383.0,25.5
212,MO,M,548.0,262.0,355.0,298.0,342.0,15.0
213,FL,,819.0,,388.0,,459.0,7.090909091
214,IL,F,613.0,212.0,245.0,294.0,355.0,6.0
215,IN,F,431.0,,,310.0,347.0,8.235294118
216,FL,,710.0,254.0,287.0,325.0,391.0,7.285714286
217,MI,F,365.0,98.0,310.0,221.0,,
218,SC,F,682.0,366.0,464.0,421.0,498.0,9.666666667
219,CA,M,1676.0,,336.0,398.0,372.0,
220,IN,F,445.0,332.0,398.0,370.0,423.0,14.55555556
221,TX,F,588.0,316.0,383.0,344.0,381.0,22.6
222,MI,F,413.0,95.0,171.0,123.0,231.0,10.16666667
223,IN,F,522.0,225.0,349.0,326.0,,
224,WI,,667.0,293.0,385.0,334.0,422.0,15.0
225,WI,F,303.0,175.0,217.0,219.0,253.0,10.375
226,OK,M,633.0,399.0,442.0,439.0,517.0,13.16666667
227,SC,F,391.0,214.0,243.0,242.0,269.0,
228,TX,F,707.0,246.0,,291.0,327.0,5.25
229,AL,M,453.0,219.0,264.0,263.0,299.0,7.0
230,IL,M,1315.0,328.0,,398.0,472.0,4.818181818
231,CA,,668.0,187.0,191.0,239.0,240.0,6.0
232,SC,M,399.0,221.0,266.0,259.0,302.0,13.90909091
233,TX,F,289.0,171.0,226.0,224.0,283.0,9.214285714
234,CA,F,1796.0,266.0,271.0,334.0,337.0,20.0
235,FL,M,625.0,259.0,282.0,299.0,309.0,17.14285714
236,CA,F,978.0,290.0,324.0,349.0,381.0,15.85
237,MO,M,367.0,159.0,186.0,,222.0,3.166666667
238,AR,M,376.0,178.0,195.0,231.0,,9.411764706
239,WI,F,937.0,321.0,441.0,433.0,545.0,15.0
240,NE,F,232.0,197.0,259.0,,280.0,6.928571429
241,MI,F,545.0,364.0,382.0,400.0,416.0,8.6
242,WI,F,458.0,228.0,270.0,,318.0,13.4
243,FL,M,814.0,271.0,268.0,312.0,324.0,16.4
244,KS,F,671.0,320.0,340.0,349.0,376.0,
245,WI,F,452.0,293.0,316.0,339.0,371.0,6.34
246,,M,826.0,,348.0,390.0,426.0,9.1875
247,GA,M,860.0,324.0,351.0,346.0,375.0,
248,MI,F,185.0,277.0,283.0,,,8.787878788
249,,M,576.0,,280.0,244.0,324.0,12.90909091
250,CA,M,2431.0,563.0,579.0,655.0,,10.89473684
251,,M,388.0,,410.0,413.0,433.0,33.33333333
252,TX,F,1680.0,884.0,878.0,943.0,935.0,5.076923077
253,NC,M,1128.0,,467.0,442.0,481.0,14.5
254,IL,F,916.0,434.0,421.0,458.0,457.0,18.46153846
255,IL,F,340.0,185.0,228.0,235.0,275.0,
256,TX,M,711.0,,353.0,360.0,378.0,11.95454546
257,,F,412.0,215.0,259.0,271.0,315.0,6.444444444
258,TX,F,893.0,443.0,463.0,508.0,527.0,9.25
259,CA,M,644.0,191.0,222.0,243.0,272.0,11.44444444
260,KS,F,440.0,219.0,261.0,260.0,,12.0
261,,,363.0,76.0,127.0,115.0,158.0,15.0
262,CA,F,1745.0,,512.0,485.0,,8.0
263,NE,F,672.0,302.0,416.0,348.0,449.0,6.631578947
264,SC,F,1419.0,661.0,697.0,700.0,741.0,
265,FL,F,1938.0,483.0,787.0,629.0,807.0,12.33333333
266,,F,1495.0,323.0,334.0,348.0,351.0,5.714285714
267,MI,M,561.0,351.0,353.0,368.0,373.0,8.75
268,FL,M,1869.0,452.0,542.0,553.0,640.0,3.818181818
269,,F,1015.0,478.0,500.0,516.0,533.0,7.0
270,TN,F,736.0,331.0,390.0,379.0,,8.666666667
271,MS,M,363.0,156.0,193.0,214.0,244.0,8.4
272,GA,F,803.0,423.0,512.0,467.0,508.0,11.66666667
273,CA,F,1818.0,258.0,,299.0,,
274,KY,F,640.0,381.0,414.0,403.0,,6.928571429
275,WA,F,698.0,355.0,377.0,393.0,416.0,8.5
276,CA,F,1449.0,378.0,439.0,395.0,470.0,15.0
277,NV,F,1557.0,290.0,311.0,342.0,361.0,10.5
278,TX,F,518.0,223.0,256.0,273.0,302.0,4.583333333
279,CA,F,1180.0,232.0,248.0,277.0,307.0,9.666666667
280,WA,M,511.0,268.0,309.0,,354.0,16.0
281,,M,2869.0,630.0,668.0,686.0,745.0,14.16666667
282,CA,F,1514.0,325.0,451.0,439.0,517.0,11.4
283,NC,F,444.0,260.0,296.0,,341.0,8.958333333
284,IN,F,444.0,270.0,318.0,,364.0,12.69230769
285,FL,F,985.0,480.0,495.0,487.0,506.0,15.2
286,,,280.0,249.0,,,304.0,3.6
287,FL,M,714.0,390.0,465.0,437.0,507.0,50.0
288,CA,F,1854.0,289.0,377.0,339.0,402.0,23.0
289,CA,F,2780.0,574.0,,653.0,,9.828571429
290,CA,F,1538.0,319.0,305.0,349.0,351.0,30.0
291,CA,F,1528.0,327.0,358.0,370.0,391.0,19.16666667
292,TX,,605.0,272.0,313.0,335.0,364.0,
293,IL,F,1165.0,391.0,,454.0,533.0,7.0
294,TX,F,439.0,255.0,262.0,,294.0,12.4
295,NE,F,681.0,387.0,422.0,428.0,477.0,15.0
296,CA,F,1865.0,256.0,295.0,317.0,362.0,
297,TX,M,225.0,157.0,204.0,217.0,263.0,18.08333333
298,MI,M,258.0,216.0,244.0,245.0,274.0,5.454545455
299,CA,M,2236.0,546.0,563.0,612.0,,9.785714286
300,WI,M,1438.0,619.0,691.0,744.0,801.0,11.7
301,TN,M,403.0,209.0,223.0,213.0,244.0,8.619047619
302,FL,M,1442.0,369.0,,445.0,488.0,7.846153846
303,NC,F,660.0,282.0,291.0,327.0,335.0,5.5
304,CA,F,2250.0,340.0,375.0,379.0,444.0,
305,MI,,1115.0,512.0,582.0,517.0,619.0,3.857142857
306,TX,,761.0,321.0,347.0,351.0,354.0,10.81818182
307,,F,2930.0,372.0,454.0,456.0,491.0,15.0
308,,M,966.0,418.0,463.0,479.0,569.0,7.363636364
309,CA,F,2024.0,352.0,400.0,392.0,427.0,8.631578947
310,MO,M,703.0,314.0,357.0,350.0,376.0,
311,FL,M,1286.0,500.0,502.0,,551.0,15.0
312,TX,F,758.0,390.0,397.0,448.0,461.0,7.857142857
313,CA,F,657.0,169.0,216.0,220.0,254.0,8.666666667
314,NE,M,581.0,315.0,368.0,378.0,411.0,10.85714286
315,CA,,2019.0,,423.0,478.0,,20.0
316,CA,M,1247.0,321.0,358.0,357.0,385.0,7.376458333
317,FL,F,559.0,,277.0,244.0,278.0,7.136363636
318,AZ,M,687.0,369.0,375.0,390.0,403.0,7.181818182
319,AL,M,582.0,217.0,363.0,275.0,375.0,16.0
320,MI,,690.0,419.0,451.0,468.0,490.0,12.33333333
321,CA,F,988.0,169.0,246.0,247.0,344.0,6.25
322,CA,F,1500.0,,353.0,,382.0,5.24
323,CA,,1650.0,219.0,225.0,304.0,319.0,12.5
324,MI,,357.0,205.0,268.0,260.0,303.0,20.0
325,TX,M,406.0,186.0,,183.0,203.0,5.7
326,TN,F,871.0,464.0,501.0,503.0,539.0,9.1
327,FL,M,768.0,,310.0,,385.0,16.75
328,MI,M,458.0,,241.0,308.0,323.0,12.16666667
329,IN,M,485.0,344.0,382.0,402.0,422.0,8.0
330,MN,F,405.0,212.0,267.0,261.0,309.0,5.923076923
331,MO,F,459.0,240.0,253.0,272.0,,6.294117647
332,OR,M,811.0,324.0,394.0,395.0,463.0,
333,NC,M,509.0,248.0,254.0,,282.0,7.142857143
334,IL,F,1030.0,375.0,553.0,,585.0,12.0
335,IL,F,881.0,392.0,393.0,414.0,437.0,6.153846154
336,CA,M,2794.0,637.0,630.0,671.0,678.0,
337,CA,M,931.0,155.0,192.0,180.0,222.0,5.571428571
338,IA,F,529.0,317.0,340.0,319.0,326.0,10.5
339,IL,F,1897.0,406.0,519.0,476.0,664.0,10.0
340,CA,F,641.0,,168.0,,279.0,9.462962963
341,FL,M,715.0,247.0,283.0,317.0,342.0,14.86666667
342,MS,F,440.0,205.0,238.0,249.0,280.0,7.166666667
343,,M,532.0,436.0,436.0,486.0,,25.0
344,,F,876.0,335.0,409.0,426.0,481.0,8.3
345,CA,M,1175.0,,318.0,376.0,396.0,10.25
346,FL,,919.0,413.0,,,532.0,8.307692308
347,,M,734.0,310.0,348.0,365.0,399.0,16.5
348,SC,M,468.0,228.0,300.0,278.0,326.0,21.5
349,FL,M,583.0,302.0,317.0,343.0,362.0,4.0
350,IL,M,314.0,206.0,224.0,236.0,280.0,
351,FL,F,671.0,341.0,354.0,363.0,385.0,6.25
352,IA,M,550.0,288.0,344.0,303.0,349.0,9.642857143
353,MI,F,609.0,410.0,551.0,490.0,540.0,13.23076923
354,CA,F,1650.0,397.0,404.0,477.0,479.0,15.0
355,FL,F,1979.0,350.0,,526.0,738.0,16.0
356,MI,F,473.0,302.0,364.0,319.0,,
357,,F,475.0,226.0,260.0,,261.0,15.0
358,,F,872.0,418.0,424.0,458.0,482.0,10.83333333
359,IL,M,1075.0,366.0,449.0,373.0,455.0,10.10526316
360,MO,F,580.0,310.0,322.0,347.0,374.0,10.75
361,TN,M,325.0,119.0,133.0,188.0,210.0,6.363636364
362,CA,M,1276.0,423.0,524.0,497.0,521.0,
363,MI,F,438.0,267.0,302.0,287.0,314.0,12.25
364,IN,F,386.0,,,,358.0,11.66666667
365,CA,F,2433.0,403.0,459.0,449.0,502.0,6.266666667
366,FL,,1464.0,,413.0,,472.0,4.0
367,TN,,1052.0,482.0,499.0,516.0,541.0,20.0
368,GA,F,998.0,488.0,550.0,581.0,602.0,6.25
369,GA,F,821.0,390.0,475.0,425.0,526.0,17.1875
370,,F,2300.0,311.0,345.0,350.0,375.0,5.533333333
371,IL,M,1852.0,550.0,561.0,602.0,614.0,7.368421053
372,WA,F,663.0,205.0,220.0,,277.0,13.24
373,,F,2056.0,906.0,924.0,931.0,,7.2
374,SC,M,916.0,416.0,435.0,444.0,468.0,10.9
375,NC,M,2282.0,908.0,945.0,938.0,980.0,18.0
376,CA,F,2883.0,501.0,532.0,588.0,,13.33333333
377,IA,M,637.0,379.0,425.0,355.0,407.0,8.615384615
378,TN,F,273.0,,150.0,152.0,163.0,7.604651163
379,CA,F,1709.0,368.0,422.0,408.0,,
380,CA,M,2307.0,477.0,478.0,490.0,499.0,3.214285714
381,OR,M,691.0,263.0,308.0,,360.0,9.866666667
382,,F,2479.0,409.0,456.0,500.0,557.0,11.6
383,OR,M,858.0,,505.0,555.0,574.0,15.0
384,FL,M,351.0,205.0,225.0,,254.0,13.0
385,,F,1672.0,722.0,732.0,765.0,770.0,23.0
386,CA,,1069.0,267.0,320.0,,369.0,8.222222222
387,TN,M,470.0,245.0,273.0,314.0,348.0,
388,CA,F,1248.0,289.0,348.0,346.0,379.0,7.5
389,WI,,492.0,316.0,349.0,304.0,339.0,10.14285714
390,WA,M,2800.0,368.0,438.0,,528.0,6.166666667
391,MN,,994.0,437.0,488.0,491.0,540.0,10.0
392,CA,F,1654.0,159.0,,266.0,313.0,10.0
393,MN,F,653.0,327.0,364.0,350.0,395.0,17.0
394,MO,M,402.0,,192.0,,241.0,9.214285714
395,CA,F,1914.0,351.0,399.0,392.0,,9.090909091
396,MS,F,426.0,139.0,130.0,169.0,156.0,15.83333333
397,,M,670.0,268.0,321.0,336.0,383.0,7.375
398,FL,F,400.0,216.0,242.0,247.0,279.0,5.6
399,CA,F,2206.0,574.0,567.0,583.0,562.0,8.428571429
400,TN,F,535.0,,,328.0,375.0,7.6
401,NC,M,444.0,,259.0,259.0,291.0,9.95
402,MN,F,476.0,202.0,274.0,236.0,304.0,23.85294118
403,CO,,593.0,256.0,298.0,336.0,399.0,13.0
404,CA,M,2238.0,580.0,,587.0,,3.25
405,CA,F,2811.0,524.0,577.0,599.0,645.0,11.08333333
406,CA,,1775.0,445.0,443.0,490.0,,10.0
407,IL,M,2549.0,715.0,757.0,786.0,839.0,
408,FL,M,913.0,256.0,289.0,309.0,338.0,
409,AR,M,500.0,245.0,308.0,,314.0,15.0
410,,F,687.0,111.0,90.0,171.0,172.0,5.222222222
411,KS,M,284.0,231.0,258.0,269.0,,4.4375
412,,F,678.0,155.0,242.0,196.0,306.0,8.105263158
413,CA,M,1685.0,430.0,479.0,449.0,540.0,7.611111111
414,,F,1461.0,313.0,342.0,411.0,464.0,5.0
415,WA,M,538.0,227.0,252.0,278.0,308.0,5.0
416,WI,F,400.0,232.0,279.0,264.0,315.0,9.533333333
417,SC,,824.0,,,,400.0,12.5
418,OK,F,855.0,345.0,384.0,508.0,560.0,8.729166667
419,FL,M,578.0,,323.0,275.0,323.0,10.64285714
420,MO,,839.0,456.0,465.0,475.0,485.0,9.625
421,MO,,662.0,424.0,436.0,444.0,456.0,
422,KY,F,575.0,228.0,299.0,261.0,327.0,10.5
423,MN,F,281.0,176.0,207.0,208.0,235.0,5.909090909
424,CA,M,2803.0,,616.0,546.0,620.0,12.2
425,GA,M,601.0,,274.0,286.0,306.0,15.0
426,FL,M,828.0,401.0,396.0,451.0,451.0,12.5
427,CO,F,2408.0,906.0,952.0,924.0,961.0,15.0
428,NC,F,951.0,307.0,427.0,370.0,487.0,15.0
429,NC,F,722.0,327.0,325.0,,371.0,20.85714286
430,CA,M,1811.0,350.0,405.0,440.0,466.0,13.75
431,MN,F,534.0,284.0,321.0,,351.0,5.290322581
432,IN,F,866.0,,453.0,454.0,472.0,
433,IL,M,471.0,299.0,334.0,303.0,347.0,5.647058824
434,NM,F,987.0,405.0,544.0,490.0,599.0,25.0
435,TX,M,1102.0,613.0,639.0,,676.0,25.0
436,,M,658.0,305.0,318.0,353.0,376.0,6.318181818
437,FL,F,512.0,175.0,198.0,208.0,236.0,11.125
438,MI,M,886.0,367.0,458.0,433.0,497.0,11.28571429
439,,M,1429.0,724.0,759.0,755.0,813.0,5.1875
440,IN,M,386.0,258.0,,,358.0,
441,OR,F,740.0,211.0,259.0,257.0,,10.0
442,,F,543.0,306.0,314.0,,337.0,10.91666667
443,WA,F,876.0,337.0,353.0,403.0,439.0,7.875
444,WI,,900.0,488.0,524.0,537.0,563.0,7.692307692
445,FL,F,1171.0,272.0,323.0,329.0,383.0,
446,,M,1429.0,492.0,497.0,,,4.75
447,GA,F,858.0,388.0,418.0,,494.0,
448,LA,F,582.0,301.0,325.0,321.0,,4.0
449,FL,F,902.0,410.0,413.0,460.0,,10.0
450,,F,356.0,229.0,236.0,219.0,225.0,12.33333333
451,IL,,582.0,288.0,288.0,286.0,279.0,20.0
452,CA,M,2469.0,340.0,411.0,475.0,522.0,13.25
453,IL,F,1107.0,428.0,,432.0,497.0,7.764705882
454,AL,M,746.0,366.0,409.0,399.0,433.0,
455,CA,M,967.0,,348.0,342.0,412.0,18.66666667
456,NC,M,1250.0,,411.0,429.0,540.0,
457,KY,,139.0,63.0,106.0,92.0,137.0,3.3125
458,CA,M,1861.0,402.0,499.0,461.0,527.0,14.0
459,FL,F,1146.0,384.0,,,504.0,7.5
460,OK,F,415.0,212.0,262.0,281.0,325.0,9.333333333
461,NC,F,854.0,382.0,407.0,406.0,419.0,
462,MI,M,496.0,301.0,317.0,,372.0,8.833333333
463,FL,F,726.0,302.0,,326.0,363.0,10.66666667
