,state,gender,median_home_val,total_baños,income,dist_playa,num_vecinos,num_habitaciones
98,IN,F,1199.0,556.0,547.0,10.0,597.0,605.0
99,CA,F,1125.0,380.61,280.0,11.069351780592964,305.0,368.2
100,GA,M,316.0,380.61,213.0,12.5,254.0,280.0
101,MO,F,825.0,463.0,401.0,12.352181948079767,464.0,555.0
102,TX,F,642.0,380.61,271.0,6.142857143,306.0,342.6
103,IN,M,1263.0,517.0,468.0,12.739120842630513,548.0,601.0
104,CA,F,1809.0,466.0,451.8328772477937,8.0,503.0,543.0
105,NV,F,1161.0,380.61,448.0,5.75,536.0,570.0
106,OK,F,295.0,203.0,150.0,6.333333333,195.0,248.0
107,CO,F,431.0,342.0,258.0,8.571428571,386.0,541.0
108,MO,F,544.0,380.61,264.0,11.117132652603702,326.0,340.0
109,F,M,618.0,278.0,227.32265882005723,7.846153846,278.0,335.0
110,GA,M,323.0,207.0,183.0,5.444444444,201.0,210.0
111,CA,F,2135.0,417.0,417.0,8.2,433.0,456.0
112,GA,F,671.0,365.0,287.0,4.888888889,372.0,441.0
113,F,F,510.0,370.0,228.0,10.8,324.0,394.0
114,CA,F,650.0,302.0,302.0,8.666666667,315.0,318.0
115,MN,F,487.0,287.0,248.0,12.72727273,286.0,327.0
116,CA,F,2925.0,305.0,288.0,7.523809524,473.4,376.0
117,FL,F,884.0,268.0,237.99029260937118,4.428571429,279.6,313.0
118,MN,F,753.0,393.0,341.0,8.4,373.0,442.0
119,WI,M,627.0,427.0,367.0,7.5,394.0,411.6
120,WI,M,806.0,420.0,331.0,13.2,382.0,447.0
121,CA,M,1401.0,445.0,427.786180365728,12.002092698650719,462.0,466.0
122,F,M,593.0,180.0,163.0,12.5,331.6,230.0
123,FL,F,915.0,357.0,308.0,13.0,367.0,438.0
124,NE,F,456.0,311.0,257.76496928573056,7.285714286,314.0,381.0
125,IN,F,610.0,336.0,319.0,4.625,384.0,473.2
126,FL,M,1229.0,502.0,469.0,8.4,507.0,544.0
127,FL,M,428.0,196.0,140.0,9.769230769,171.0,208.0
128,IL,F,2333.0,643.0,316.0,7.307692308,420.0,744.0
129,NC,M,707.0,400.0,383.0,9.333333333,398.0,433.0
130,OR,F,377.0,199.0,171.0,16.66666667,219.0,187.0
131,CA,F,1624.0,382.0,380.0,5.0,407.0,481.6
132,MI,F,348.0,269.0,184.0,27.5,332.2,316.0
133,CA,F,1878.0,526.0,523.0,12.666053562428518,564.0,566.0
134,IL,F,777.0,386.0,378.0,17.8,371.6,423.0
135,IL,F,1463.0,439.0,117.0,12.16666667,266.0,523.0
136,TX,M,375.0,214.0,153.0,5.347826087,206.0,248.0
137,IN,F,561.0,301.0,302.0,11.105796474748457,323.0,331.0
138,NC,F,502.0,250.0,199.0,7.875,229.0,261.0
139,IN,M,800.0,398.0,283.0,16.6,318.2,425.0
140,CO,M,1472.0,653.0,625.0,13.644314882332688,687.0,732.0
141,F,F,492.0,380.61,332.0,8.4375,425.0,472.6
142,IL,F,609.0,347.0,314.0,6.666666667,349.0,441.2
143,F,F,2430.0,610.0,604.0,9.5,659.0,399.0
144,CA,M,2559.0,591.0,560.2948692059927,10.25,614.0,651.0
145,FL,F,696.0,357.0,299.33823585764634,3.3,358.0,427.0
146,FL,M,762.0,355.0,263.03957146053085,11.412060100788409,327.0,411.0
147,NE,F,441.0,380.61,250.25514443076645,5.279069767,300.0,353.0
148,IN,F,502.0,363.0,319.0,11.386094341366853,341.0,388.0
149,IN,M,673.0,330.0,284.0,13.45454546,335.0,373.0
150,FL,F,1173.0,424.0,322.0,4.125,407.0,494.0
151,FL,F,934.0,373.0,323.0,25.0,376.0,400.0
152,FL,M,1332.0,411.0,358.5980617478878,9.576923077,422.0,497.0
153,CO,F,649.0,273.0,238.0,5.411764706,272.0,302.0
154,OK,F,590.0,439.0,410.0,13.0,433.0,456.0
155,TX,F,500.0,316.0,291.0,11.5,314.0,379.0
156,FL,M,368.0,271.0,220.83787013196124,10.7,261.0,295.0
157,F,F,427.0,365.0,315.0,9.0,340.0,377.0
158,CA,F,1458.0,191.0,173.0,10.487127780097431,220.0,249.0
159,TX,M,274.0,214.0,154.0,40.875,199.0,256.0
160,KY,F,584.0,287.0,274.0,11.146311060295227,336.0,341.0
161,IL,F,553.0,309.0,306.0,8.916666667,333.0,452.8
162,CA,M,2545.0,304.0,361.0,12.5,386.0,358.0
163,F,F,1778.0,480.0,411.0,12.10279915213627,439.0,503.0
164,CA,F,1187.0,366.0,347.8288546136916,10.81481482,393.0,428.0
165,TX,F,1448.0,667.0,651.0,13.650962662397284,698.0,724.0
166,AL,M,712.0,380.61,377.0,11.926363638354005,409.4,472.0
167,FL,M,1432.0,693.0,600.3729360747373,13.778056364198454,680.0,772.0
168,CA,F,2598.0,557.0,483.39981673284876,8.222222222,562.0,661.0
169,CA,F,2855.0,385.0,427.8835998591031,6.538461539,484.0,537.0
170,TX,F,535.0,437.0,244.0,9.8125,317.0,402.0
171,F,M,662.0,406.0,337.1925262916675,12.5,394.0,456.0
172,CA,F,2973.0,591.0,576.0,7.25,624.0,654.0
173,F,F,2289.0,647.0,631.0,9.769230769,657.0,679.0
174,TX,F,1274.0,798.0,789.0,6.409090909,804.0,825.0
175,F,M,840.0,471.0,458.0,15.0,513.0,405.2
176,WA,F,1024.0,451.0,373.4766926866621,10.5,413.0,472.0
177,IL,F,1667.0,603.0,541.0,13.33333333,592.0,624.0
178,WA,F,843.0,380.61,423.0,10.72727273,475.0,486.0
179,GA,F,583.0,374.0,360.0,9.666666667,405.0,434.0
180,CA,M,1801.0,534.0,495.0,19.47058824,475.0,525.0
181,AL,F,863.0,527.0,406.0,9.153846154,459.0,562.0
182,OR,M,335.0,157.0,140.0,10.021649275951159,154.0,170.0
183,TX,F,1362.0,645.0,575.0,8.533333333,627.0,718.0
184,IL,F,562.0,480.0,360.0,20.0,388.0,401.8
185,FL,M,1287.0,508.0,479.0,4.105769231,567.0,616.0
186,TN,F,476.0,254.0,210.0,13.0,272.0,310.0
187,AL,F,648.0,418.0,353.0,7.0,357.0,459.4
188,CA,M,1862.0,372.0,365.0,17.85714286,401.0,425.0
189,CA,F,1843.0,511.0,515.0,19.0,375.4,582.0
190,OK,F,1537.0,783.0,791.0,11.0625,916.0,949.0
191,F,F,719.0,340.0,330.0,11.592043266934013,389.0,416.0
192,TX,M,1951.0,838.0,807.0,9.333333333,504.8,896.0
193,FL,M,1434.0,479.0,388.0,18.0,513.0,432.4
194,IA,F,206.0,251.0,229.0,11.66666667,267.0,288.0
195,F,M,613.0,267.0,146.0,17.5,209.0,349.0
196,GA,F,991.0,380.61,493.0,7.769230769,532.0,548.0
197,MI,F,900.0,420.0,343.0,13.31818182,386.0,465.0
198,NV,F,1163.0,493.0,468.0,53.0,511.0,548.0
199,TX,M,430.0,283.0,237.0,12.0,281.0,383.2
200,FL,F,1380.0,325.0,287.39803796195434,7.875,363.0,371.0
201,CA,F,1518.0,171.0,179.94821473335435,5.055555556,208.0,218.0
202,WA,M,1390.0,380.61,426.0,18.0,463.0,470.0
203,MO,M,1224.0,577.0,575.0,2.8125,608.0,460.0
204,IL,F,182.0,217.0,171.0,10.6427257234901,242.0,278.0
205,OR,F,786.0,452.0,419.0,4.555555556,444.0,466.0
206,TX,M,308.0,186.0,161.0,4.5,204.0,219.0
207,OR,F,1074.0,252.0,232.0,10.04347826,294.0,374.2
208,AZ,M,885.0,408.0,370.1455937491739,11.829419620120266,417.0,454.0
209,CA,F,2375.0,363.0,371.0,4.142857143,411.0,420.0
210,F,M,657.0,293.0,265.0,9.472222222,303.0,325.0
211,IN,F,581.0,372.0,369.0,25.5,369.0,383.0
212,MO,M,548.0,355.0,262.0,15.0,298.0,342.0
213,FL,F,819.0,388.0,362.43458105836265,7.090909091,390.0,459.0
214,IL,F,613.0,245.0,212.0,6.0,294.0,355.0
215,IN,F,431.0,380.61,266.82242331973157,8.235294118,310.0,347.0
216,FL,F,710.0,287.0,254.0,7.285714286,325.0,391.0
217,MI,F,365.0,310.0,98.0,10.69954554030552,221.0,282.8
218,SC,F,682.0,464.0,366.0,9.666666667,421.0,498.0
219,CA,M,1676.0,336.0,378.91064731778465,11.464922261603864,398.0,372.0
220,IN,F,445.0,398.0,332.0,14.55555556,370.0,423.0
221,TX,F,588.0,383.0,316.0,22.6,344.0,381.0
222,MI,F,413.0,171.0,95.0,10.16666667,123.0,231.0
223,IN,F,522.0,349.0,225.0,11.351456728596336,326.0,358.0
224,WI,F,667.0,385.0,293.0,15.0,334.0,422.0
225,WI,F,303.0,217.0,175.0,10.375,219.0,253.0
226,OK,M,633.0,442.0,399.0,13.16666667,439.0,517.0
227,SC,F,391.0,243.0,214.0,10.640532205649713,242.0,269.0
228,TX,F,707.0,380.61,246.0,5.25,291.0,327.0
229,AL,M,453.0,264.0,219.0,7.0,263.0,299.0
230,IL,M,1315.0,380.61,328.0,4.818181818,398.0,472.0
231,CA,F,668.0,191.0,187.0,6.0,239.0,240.0
232,SC,M,399.0,266.0,221.0,13.90909091,259.0,302.0
233,TX,F,289.0,226.0,171.0,9.214285714,224.0,283.0
234,CA,F,1796.0,271.0,266.0,20.0,334.0,337.0
235,FL,M,625.0,282.0,259.0,17.14285714,299.0,309.0
236,CA,F,978.0,324.0,290.0,15.85,349.0,381.0
237,MO,M,367.0,186.0,159.0,3.166666667,286.2,222.0
238,AR,M,376.0,195.0,178.0,9.411764706,231.0,340.4
239,WI,F,937.0,441.0,321.0,15.0,433.0,545.0
240,NE,F,232.0,259.0,197.0,6.928571429,420.0,280.0
241,MI,F,545.0,382.0,364.0,8.6,400.0,416.0
242,WI,F,458.0,270.0,228.0,13.4,390.0,318.0
243,FL,M,814.0,268.0,271.0,16.4,312.0,324.0
244,KS,F,671.0,340.0,320.0,11.350719907932204,349.0,376.0
245,WI,F,452.0,316.0,293.0,6.34,339.0,371.0
246,F,M,826.0,348.0,344.48650551612803,9.1875,390.0,426.0
247,GA,M,860.0,351.0,324.0,11.344777776421168,346.0,375.0
248,MI,F,185.0,283.0,277.0,8.787878788,335.8,479.0
249,F,M,576.0,280.0,184.65539378033685,12.90909091,244.0,324.0
250,CA,M,2431.0,579.0,563.0,10.89473684,655.0,366.6
251,F,M,388.0,410.0,373.8127427778764,33.33333333,413.0,433.0
252,TX,F,1680.0,878.0,884.0,5.076923077,943.0,935.0
253,NC,M,1128.0,467.0,393.44404881566163,14.5,442.0,481.0
254,IL,F,916.0,421.0,434.0,18.46153846,458.0,457.0
255,IL,F,340.0,228.0,185.0,10.629906776883569,235.0,275.0
256,TX,M,711.0,353.0,323.30035857833286,11.95454546,360.0,378.0
257,F,F,412.0,259.0,215.0,6.444444444,271.0,315.0
258,TX,F,893.0,463.0,443.0,9.25,508.0,527.0
259,CA,M,644.0,222.0,191.0,11.44444444,243.0,272.0
260,KS,F,440.0,261.0,219.0,12.0,260.0,383.2
261,F,F,363.0,127.0,76.0,15.0,115.0,158.0
262,CA,F,1745.0,512.0,432.4025166726012,8.0,485.0,343.2
263,NE,F,672.0,416.0,302.0,6.631578947,348.0,449.0
264,SC,F,1419.0,697.0,661.0,13.732895919820454,700.0,741.0
265,FL,F,1938.0,787.0,483.0,12.33333333,629.0,807.0
266,F,F,1495.0,334.0,323.0,5.714285714,348.0,351.0
267,MI,M,561.0,353.0,351.0,8.75,368.0,373.0
268,FL,M,1869.0,542.0,452.0,3.818181818,553.0,640.0
269,F,F,1015.0,500.0,478.0,7.0,516.0,533.0
270,TN,F,736.0,390.0,331.0,8.666666667,379.0,440.8
271,MS,M,363.0,193.0,156.0,8.4,214.0,244.0
272,GA,F,803.0,512.0,423.0,11.66666667,467.0,508.0
273,CA,F,1818.0,380.61,258.0,11.059920934630265,299.0,353.0
274,KY,F,640.0,414.0,381.0,6.928571429,403.0,466.2
275,WA,F,698.0,377.0,355.0,8.5,393.0,416.0
276,CA,F,1449.0,439.0,378.0,15.0,395.0,470.0
277,NV,F,1557.0,311.0,290.0,10.5,342.0,361.0
278,TX,F,518.0,256.0,223.0,4.583333333,273.0,302.0
279,CA,F,1180.0,248.0,232.0,9.666666667,277.0,307.0
280,WA,M,511.0,309.0,268.0,16.0,318.4,354.0
281,F,M,2869.0,668.0,630.0,14.16666667,686.0,745.0
282,CA,F,1514.0,451.0,325.0,11.4,439.0,517.0
283,NC,F,444.0,296.0,260.0,8.958333333,376.8,341.0
284,IN,F,444.0,318.0,270.0,12.69230769,305.4,364.0
285,FL,F,985.0,495.0,480.0,15.2,487.0,506.0
286,F,F,280.0,380.61,249.0,3.6,292.4,304.0
287,FL,M,714.0,465.0,390.0,50.0,437.0,507.0
288,CA,F,1854.0,377.0,289.0,23.0,339.0,402.0
289,CA,F,2780.0,380.61,574.0,9.828571429,653.0,387.4
290,CA,F,1538.0,305.0,319.0,30.0,349.0,351.0
291,CA,F,1528.0,358.0,327.0,19.16666667,370.0,391.0
292,TX,F,605.0,313.0,272.0,11.238238457617838,335.0,364.0
293,IL,F,1165.0,380.61,391.0,7.0,454.0,533.0
294,TX,F,439.0,262.0,255.0,12.4,331.6,294.0
295,NE,F,681.0,422.0,387.0,15.0,428.0,477.0
296,CA,F,1865.0,295.0,256.0,11.186520578286355,317.0,362.0
297,TX,M,225.0,204.0,157.0,18.08333333,217.0,263.0
298,MI,M,258.0,244.0,216.0,5.454545455,245.0,274.0
299,CA,M,2236.0,563.0,546.0,9.785714286,612.0,387.4
300,WI,M,1438.0,691.0,619.0,11.7,744.0,801.0
301,TN,M,403.0,223.0,209.0,8.619047619,213.0,244.0
302,FL,M,1442.0,380.61,369.0,7.846153846,445.0,488.0
303,NC,F,660.0,291.0,282.0,5.5,327.0,335.0
304,CA,F,2250.0,375.0,340.0,11.699273614192517,379.0,444.0
305,MI,F,1115.0,582.0,512.0,3.857142857,517.0,619.0
306,TX,F,761.0,347.0,321.0,10.81818182,351.0,354.0
307,F,F,2930.0,454.0,372.0,15.0,456.0,491.0
308,F,M,966.0,463.0,418.0,7.363636364,479.0,569.0
309,CA,F,2024.0,400.0,352.0,8.631578947,392.0,427.0
310,MO,M,703.0,357.0,314.0,11.347513423458036,350.0,376.0
311,FL,M,1286.0,502.0,500.0,15.0,455.2,551.0
312,TX,F,758.0,397.0,390.0,7.857142857,448.0,461.0
313,CA,F,657.0,216.0,169.0,8.666666667,220.0,254.0
314,NE,M,581.0,368.0,315.0,10.85714286,378.0,411.0
315,CA,F,2019.0,423.0,425.3084121887263,20.0,478.0,524.6
316,CA,M,1247.0,358.0,321.0,7.376458333,357.0,385.0
317,FL,F,559.0,277.0,204.39238051998234,7.136363636,244.0,278.0
318,AZ,M,687.0,375.0,369.0,7.181818182,390.0,403.0
319,AL,M,582.0,363.0,217.0,16.0,275.0,375.0
320,MI,F,690.0,451.0,419.0,12.33333333,468.0,490.0
321,CA,F,988.0,246.0,169.0,6.25,247.0,344.0
322,CA,F,1500.0,353.0,296.80843344904173,5.24,321.8,382.0
323,CA,F,1650.0,225.0,219.0,12.5,304.0,319.0
324,MI,F,357.0,268.0,205.0,20.0,260.0,303.0
325,TX,M,406.0,380.61,186.0,5.7,183.0,203.0
326,TN,F,871.0,501.0,464.0,9.1,503.0,539.0
327,FL,M,768.0,310.0,299.2263116465966,16.75,400.2,385.0
328,MI,M,458.0,241.0,274.3975680982673,12.16666667,308.0,323.0
329,IN,M,485.0,382.0,344.0,8.0,402.0,422.0
330,MN,F,405.0,267.0,212.0,5.923076923,261.0,309.0
331,MO,F,459.0,253.0,240.0,6.294117647,272.0,342.2
332,OR,M,811.0,394.0,324.0,11.791911580719235,395.0,463.0
333,NC,M,509.0,254.0,248.0,7.142857143,420.0,282.0
334,IL,F,1030.0,553.0,375.0,12.0,304.2,585.0
335,IL,F,881.0,393.0,392.0,6.153846154,414.0,437.0
336,CA,M,2794.0,630.0,637.0,13.40347305750409,671.0,678.0
337,CA,M,931.0,192.0,155.0,5.571428571,180.0,222.0
338,IA,F,529.0,340.0,317.0,10.5,319.0,326.0
339,IL,F,1897.0,519.0,406.0,10.0,476.0,664.0
340,CA,F,641.0,168.0,208.94140792778921,9.462962963,346.4,279.0
341,FL,M,715.0,283.0,247.0,14.86666667,317.0,342.0
342,MS,F,440.0,238.0,205.0,7.166666667,249.0,280.0
343,F,M,532.0,436.0,436.0,25.0,486.0,464.0
344,F,F,876.0,409.0,335.0,8.3,426.0,481.0
345,CA,M,1175.0,318.0,337.8677153317588,10.25,376.0,396.0
346,FL,F,919.0,380.61,413.0,8.307692308,452.4,532.0
347,F,M,734.0,348.0,310.0,16.5,365.0,399.0
348,SC,M,468.0,300.0,228.0,21.5,278.0,326.0
349,FL,M,583.0,317.0,302.0,4.0,343.0,362.0
350,IL,M,314.0,224.0,206.0,10.66943122238987,236.0,280.0
351,FL,F,671.0,354.0,341.0,6.25,363.0,385.0
352,IA,M,550.0,344.0,288.0,9.642857143,303.0,349.0
353,MI,F,609.0,551.0,410.0,13.23076923,490.0,540.0
354,CA,F,1650.0,404.0,397.0,15.0,477.0,479.0
355,FL,F,1979.0,380.61,350.0,16.0,526.0,738.0
356,MI,F,473.0,364.0,302.0,11.146711973869023,319.0,379.8
357,F,F,475.0,260.0,226.0,15.0,310.8,261.0
358,F,F,872.0,424.0,418.0,10.83333333,458.0,482.0
359,IL,M,1075.0,449.0,366.0,10.10526316,373.0,455.0
360,MO,F,580.0,322.0,310.0,10.75,347.0,374.0
361,TN,M,325.0,133.0,119.0,6.363636364,188.0,210.0
362,CA,M,1276.0,524.0,423.0,12.285031940187626,497.0,521.0
363,MI,F,438.0,302.0,267.0,12.25,287.0,314.0
364,IN,F,386.0,380.61,276.2684280802443,11.66666667,389.4,358.0
365,CA,F,2433.0,459.0,403.0,6.266666667,449.0,502.0
366,FL,F,1464.0,413.0,373.55567585488143,4.0,382.4,472.0
367,TN,F,1052.0,499.0,482.0,20.0,516.0,541.0
368,GA,F,998.0,550.0,488.0,6.25,581.0,602.0
369,GA,F,821.0,475.0,390.0,17.1875,425.0,526.0
370,F,F,2300.0,345.0,311.0,5.533333333,350.0,375.0
371,IL,M,1852.0,561.0,550.0,7.368421053,602.0,614.0
372,WA,F,663.0,220.0,205.0,13.24,424.2,277.0
373,F,F,2056.0,924.0,906.0,7.2,931.0,419.6
374,SC,M,916.0,435.0,416.0,10.9,444.0,468.0
375,NC,M,2282.0,945.0,908.0,18.0,938.0,980.0
376,CA,F,2883.0,532.0,501.0,13.33333333,588.0,450.8
377,IA,M,637.0,425.0,379.0,8.615384615,355.0,407.0
378,TN,F,273.0,150.0,125.4861338122428,7.604651163,152.0,163.0
379,CA,F,1709.0,422.0,368.0,11.777877469163188,408.0,486.8
380,CA,M,2307.0,478.0,477.0,3.214285714,490.0,499.0
381,OR,M,691.0,308.0,263.0,9.866666667,488.6,360.0
382,F,F,2479.0,456.0,409.0,11.6,500.0,557.0
383,OR,M,858.0,505.0,511.13455273331965,15.0,555.0,574.0
384,FL,M,351.0,225.0,205.0,13.0,424.2,254.0
385,F,F,1672.0,732.0,722.0,23.0,765.0,770.0
386,CA,F,1069.0,320.0,267.0,8.222222222,430.8,369.0
387,TN,M,470.0,273.0,245.0,11.114507101075771,314.0,348.0
388,CA,F,1248.0,348.0,289.0,7.5,346.0,379.0
389,WI,F,492.0,349.0,316.0,10.14285714,304.0,339.0
390,WA,M,2800.0,438.0,368.0,6.166666667,365.4,528.0
391,MN,F,994.0,488.0,437.0,10.0,491.0,540.0
392,CA,F,1654.0,380.61,159.0,10.0,266.0,313.0
393,MN,F,653.0,364.0,327.0,17.0,350.0,395.0
394,MO,M,402.0,192.0,176.5464002887691,9.214285714,453.6,241.0
395,CA,F,1914.0,399.0,351.0,9.090909091,392.0,452.8
396,MS,F,426.0,130.0,139.0,15.83333333,169.0,156.0
397,F,M,670.0,321.0,268.0,7.375,336.0,383.0
398,FL,F,400.0,242.0,216.0,5.6,247.0,279.0
399,CA,F,2206.0,567.0,574.0,8.428571429,583.0,562.0
400,TN,F,535.0,380.61,279.8885162090749,7.6,328.0,375.0
401,NC,M,444.0,259.0,219.76044602448647,9.95,259.0,291.0
402,MN,F,476.0,274.0,202.0,23.85294118,236.0,304.0
403,CO,F,593.0,298.0,256.0,13.0,336.0,399.0
404,CA,M,2238.0,380.61,580.0,3.25,587.0,434.8
405,CA,F,2811.0,577.0,524.0,11.08333333,599.0,645.0
406,CA,F,1775.0,443.0,445.0,10.0,490.0,429.0
407,IL,M,2549.0,757.0,715.0,14.327946840408908,786.0,839.0
408,FL,M,913.0,289.0,256.0,11.073628705672968,309.0,338.0
409,AR,M,500.0,308.0,245.0,15.0,386.4,314.0
410,F,F,687.0,90.0,111.0,5.222222222,171.0,172.0
411,KS,M,284.0,258.0,231.0,4.4375,269.0,377.0
412,F,F,678.0,242.0,155.0,8.105263158,196.0,306.0
413,CA,M,1685.0,479.0,430.0,7.611111111,449.0,540.0
414,F,F,1461.0,342.0,313.0,5.0,411.0,464.0
415,WA,M,538.0,252.0,227.0,5.0,278.0,308.0
416,WI,F,400.0,279.0,232.0,9.533333333,264.0,315.0
417,SC,F,824.0,380.61,312.06665029528796,12.5,316.4,400.0
